firstname,lastname,username,department,password,ou
Paris,Direction1,P.Direction1,Direction,P@ss77140,"OU=Direction,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Direction2,P.Direction2,Direction,P@ss77140,"OU=Direction,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Direction3,P.Direction3,Direction,P@ss77140,"OU=Direction,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Admin1,P.Admin1,Administration,P@ss77140,"OU=Administration,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Admin2,P.Admin2,Administration,P@ss77140,"OU=Administration,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Admin3,P.Admin3,Administration,P@ss77140,"OU=Administration,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Admin4,P.Admin4,Administration,P@ss77140,"OU=Administration,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Admin5,P.Admin5,Administration,P@ss77140,"OU=Administration,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Dev1,P.Dev1,Dev,P@ss77140,"OU=Dev,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Dev2,P.Dev2,Dev,P@ss77140,"OU=Dev,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Dev3,P.Dev3,Dev,P@ss77140,"OU=Dev,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Dev4,P.Dev4,Dev,P@ss77140,"OU=Dev,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Com1,P.Com1,Communication,P@ss77140,"OU=Communication,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Com2,P.Com2,Communication,P@ss77140,"OU=Communication,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Com3,P.Com3,Communication,P@ss77140,"OU=Communication,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Com4,P.Com4,Communication,P@ss77140,"OU=Communication,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,DevIOS1,P.DevIOS1,Dev IOS,P@ss77140,"OU=Dev IOS,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,DevIOS2,P.DevIOS2,Dev IOS,P@ss77140,"OU=Dev IOS,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,DevIOS3,P.DevIOS3,Dev IOS,P@ss77140,"OU=Dev IOS,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,RespoPart1,P.RespoPart1,Partenariats,P@ss77140,"OU=Partenariats,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,RespoPart2,P.RespoPart2,Partenariats,P@ss77140,"OU=Partenariats,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Pub1,P.Pub1,Publicitaire,P@ss77140,"OU=Publicitaire,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Pub2,P.Pub2,Publicitaire,P@ss77140,"OU=Publicitaire,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Pub3,P.Pub3,Publicitaire,P@ss77140,"OU=Publicitaire,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Pub4,P.Pub4,Publicitaire,P@ss77140,"OU=Publicitaire,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Cm1,P.Cm1,Community Manager,P@ss77140,"OU=Community Manager,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Designer1,P.Designer1,Designer,P@ss77140,"OU=Designer,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,Designer2,P.Designer2,Designer,P@ss77140,"OU=Designer,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,TechSys1,P.TechSys1,Techniciens,P@ss77140,"OU=Techniciens,OU=Paris,DC=tlb,DC=soundbuzz"
Paris,TechSys2,P.TechSys2,Techniciens,P@ss77140,"OU=Techniciens,OU=Paris,DC=tlb,DC=soundbuzz"
Montreal,Direction1,M.Direction1,Direction,P@ss77140,"OU=Direction,OU=Montreal,DC=tlb,DC=soundbuzz"
Montreal,Admin1,M.Admin1,Administration,P@ss77140,"OU=Administration,OU=Montreal,DC=tlb,DC=soundbuzz"
Montreal,Admin2,M.Admin2,Administration,P@ss77140,"OU=Administration,OU=Montreal,DC=tlb,DC=soundbuzz"
Montreal,Dev1,M.Dev1,Dev,P@ss77140,"OU=Dev,OU=Montreal,DC=tlb,DC=soundbuzz"
Montreal,Com1,M.Com1,Communication,P@ss77140,"OU=Communication,OU=Montreal,DC=tlb,DC=soundbuzz"
Montreal,DevIOS1,M.DevIOS1,Dev IOS,P@ss77140,"OU=Dev IOS,OU=Montreal,DC=tlb,DC=soundbuzz"
Montreal,RespoPart1,M.RespoPart1,Partenariats,P@ss77140,"OU=Partenariats,OU=Montreal,DC=tlb,DC=soundbuzz"
Montreal,Pub1,M.Pub1,Publicitaire,P@ss77140,"OU=Publicitaire,OU=Montreal,DC=tlb,DC=soundbuzz"
Montreal,Cm1,M.Cm1,Community Manager,P@ss77140,"OU=Community Manager,OU=Montreal,DC=tlb,DC=soundbuzz"
Montreal,TechSys1,M.TechSys1,Techniciens,P@ss77140,"OU=Techniciens,OU=Montreal,DC=tlb,DC=soundbuzz"
